id,title,owner_teams,start_date,target_date,status,depends_on
M-101,Ship unified sign-in,platform,2026-01-05,2026-02-13,done,
M-102,Retire legacy session store,platform;infra,2026-01-12,2026-03-06,done,M-101
M-103,Self-serve workspace provisioning,platform,2026-02-02,2026-03-27,done,M-101
M-104,Usage metering pipeline,data,2026-01-19,2026-03-20,in_progress,
M-105,Billing portal v2,growth;platform,2026-03-02,2026-05-15,planned,M-104
M-106,Onboarding checklist redesign,design;growth,2026-02-09,2026-03-27,in_progress,
M-108,Event schema registry,data,2026-01-26,2026-03-13,done,
M-109,Warehouse cost controls,data;infra;platform,2026-03-16,2026-05-22,in_progress,M-108
M-110,Mobile push notifications,mobile,2026-02-16,2026-04-17,in_progress,M-101
M-111,Offline draft sync,mobile,2026-04-06,2026-06-12,planned,M-110
M-112,Design system tokens and theming,design,2026-01-05,2026-02-27,done,
M-113,Accessibility audit remediation,design;mobile,2026-03-02,2026-05-01,planned,M-112
M-114,Multi-region read replicas,infra,2026-02-02,2026-04-24,in_progress,
M-116,Audit log export API,platform;data,2026-04-06,2026-06-05,planned,M-108
M-117,SSO for enterprise tier,platform,2026-04-13,2026-06-26,planned,M-101
M-118,Pricing experiment framework,growth;data,2026-02-23,2026-05-15,in_progress,M-104
M-119,Lifecycle email revamp,growth,2026-03-30,2026-05-22,planned,M-106
M-120,In-app help centre,design,2026-04-20,2026-06-19,planned,M-112
M-121,Search relevance rewrite,data,2026-05-04,2026-07-24,planned,M-108
M-123,Tablet layout support,mobile;design,2026-05-11,2026-07-10,planned,M-113
M-124,Crash-free rate to 99.5%,mobile,2026-03-09,2026-05-08,done,M-110
M-125,Terraform module library,infra,2026-04-27,2026-06-26,planned,
M-126,Secrets rotation automation,infra;platform,2026-05-18,2026-07-17,planned,M-125
M-127,API rate limiting v2,platform,2026-05-25,2026-08-28,at_risk,M-103
M-128,Partner sandbox environments,platform;growth,2026-06-15,2026-09-04,planned,M-103
M-129,Data retention policy engine,data;infra,2026-06-22,2026-09-11,planned,M-109
M-130,Self-serve trial extension,growth,2026-07-06,2026-08-28,planned,M-105
M-132,Widget SDK for embeds,platform;mobile,2026-07-27,2026-10-09,planned,M-127
M-133,Realtime collaboration cursors,platform;design;mobile,2026-08-03,2026-11-13,planned,M-103
M-134,Anomaly alerting for usage,data,2026-08-17,2026-10-16,planned,M-104
M-135,Mobile deep links,mobile;growth,2026-08-24,2026-10-23,planned,M-110
M-136,Zero-downtime schema migrations,infra;data,2026-09-07,2026-11-20,at_risk,M-114
M-137,Compliance evidence portal,platform,2026-09-14,2026-11-27,planned,M-116
M-139,Design QA automation,design,2026-10-05,2026-12-11,planned,M-112
M-140,Capacity planning dashboard,infra;data,2026-10-19,2026-12-18,planned,M-134
M-141,Usage-based invoicing,growth;data,2026-04-13,2026-06-19,in_progress,M-104
M-142,Workspace templates gallery,platform;design,2026-05-04,2026-07-03,planned,M-103
M-143,On-call rotation tooling,infra,2026-06-08,2026-08-07,planned,M-125
M-144,Mobile widget for daily plan,mobile;design,2026-07-20,2026-09-25,planned,M-110
M-145,Regional data residency,infra;platform,2026-08-10,2026-11-06,planned,M-114
M-146,Executive roadmap digest,data;design,2026-09-21,2026-11-13,planned,M-134
